Title,Authors,DOI,DOI link,Venue,Citation count,Year
Machine Learning Tools To (Semi-)Automate Evidence Synthesis: A Rapid Review and Evidence Map,"Gaelen Adam, Melinda Davies, Jerusha George, Eduardo L Caputo, Ja Mai Htun, Erin Coppola, Haley Holmer, Edi Kuhn, Holly Wethington, Ilya Ivlev, Ethan M. Balk, Thomas A. Trikalinos",10.23970/ahrqepcwhitepapermachine2,https://doi.org/10.23970/ahrqepcwhitepapermachine2,-,0,2025
Empowering Security Operation Center With Artificial Intelligence and Machine Learning—A Systematic Literature Review,"Mohamad Khayat, E. Barka, Mohamed Adel Serhani, F. Sallabi, Khaled Shuaib, Heba M. Khater",10.1109/ACCESS.2025.3532951,https://doi.org/10.1109/ACCESS.2025.3532951,IEEE Access,17,2025
How knowledge is represented in AEC industry: a systematic review,"Zhekai Xia, Jun Wang, M. Hosseini, W. Shou, Xuzhong Yan, Shuyuan Xu",10.1108/ecam-12-2024-1751,https://doi.org/10.1108/ecam-12-2024-1751,Engineering Construction and Architectural Management,0,2025
NAVIGATING TRENDS AND TENSIONS IN DIGITAL TRANSFORMATION: A SYSTEMATIC REVIEW,Indah Arifah,10.31947/aiccon2025.v1i1.47744,https://doi.org/10.31947/aiccon2025.v1i1.47744,Proceeding of The 5th ASPIKOM  International  CommunicationConference (AICCON 2025),0,2025
PRIVACY-PRESERVING DATABASE QUERIES AND DATA ANALYSIS,"Zheniskul Zhantassova Zheniskul Zeineshovna, Symbat Nurgalieva, Aigul Syzdykpayeva",10.51885/1561-4212_2025_3_194,https://doi.org/10.51885/1561-4212_2025_3_194,Bulletin of D. Serikbayev EKTU,0,2025
Research and Application of Key Technologies for High-Reliability Real-Time Data Acquisition and Processing Systems in Hydropower Plants,"Jialuolun Ma, Dongxiang Song, Yanping Shang",10.1109/AIoTC66747.2025.11198622,https://doi.org/10.1109/AIoTC66747.2025.11198622,"2025 4th International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology (AIoTC)",0,2025
"Artificial Intelligence in Human Resource Management: A Systematic Review of Drivers, Challenges, and Future Pathways","Venkatesh Thulasidoss, Mohamed Alfaz, Tamang Min",10.3126/njmr.v8i4.82368,https://doi.org/10.3126/njmr.v8i4.82368,Nepal Journal of Multidisciplinary Research,0,2025
Image Matching from Handcrafted to Deep Features: A Survey,"Jiayi Ma, Xingyu Jiang, Aoxiang Fan, Junjun Jiang, Junchi Yan",10.1007/s11263-020-01359-2,https://doi.org/10.1007/s11263-020-01359-2,International Journal of Computer Vision,5,2020
"Unleashing the Potential of Generative AI, Conversational Agents and Chatbots in Educational Praxis: A Systematic Review and Bibliometric Analysis of GenAI in Education",Aras Bozkurt,10.55982/openpraxis.15.4.609,https://doi.org/10.55982/openpraxis.15.4.609,Open Praxis,66,2023
"A Systematic Review of Key Retrieval-Augmented Generation (RAG) Systems: Progress, Gaps, and Future Directions","Agada Joseph Oche, Ademola Glory Folashade, Tirthankar Ghosal, Arpan Biswas",10.48550/arXiv.2507.18910,https://doi.org/10.48550/arXiv.2507.18910,arXiv.org,7,2025
Deep learning in hospitality and tourism: a research framework agenda for future research,"Aniekan Essien, Godwin Chukwukelu",10.1108/ijchm-09-2021-1176,https://doi.org/10.1108/ijchm-09-2021-1176,International Journal of Contemporary Hospitality Management,30,2022
Deep Learning in Robot-Assisted Surgery: A Conceptual Framework for the da Vinci System,Hakan Özcan,10.69882/adba.cem.2025071,https://doi.org/10.69882/adba.cem.2025071,Computers and Electronics in Medicine,0,2025
A review of unsupervised text style transfer based on deep learning,"Zicheng Guo, Yuan Rao",10.1117/12.2684814,https://doi.org/10.1117/12.2684814,Other Conferences,0,2023
Graph Neural Network Empowers Intelligent Education: A Systematic Review From an Application Perspective,"Chaobo He, Jian Luo, Yong Tang, Guanliang Chen, Quanlong Guan",10.1109/TLT.2025.3630276,https://doi.org/10.1109/TLT.2025.3630276,IEEE Transactions on Learning Technologies,0,2025
"A Systematic Literature Review of Deepfake Literacy, Societal Impacts, and AI-Driven Prevention Strategies for Platform-Specific Vulnerabilities","Tharuka Wikum, J. Wijayanayake",10.1109/ICATC64549.2024.11025231,https://doi.org/10.1109/ICATC64549.2024.11025231,2024 International Conference on Advances in Technology and Computing (ICATC),1,2024
A Systematic Review on Software Design Patterns in Today's Perspective,"Mafizur Rahman, Md Showkat Hossain Chy, Swapnil Saha",10.1109/SeGAH57547.2023.10253758,https://doi.org/10.1109/SeGAH57547.2023.10253758,International Conference on Serious Games and Applications for Health,9,2023
Deep learning approaches for detecting DDoS attacks: a systematic review,"Meenakshi Mittal, K. Kumar, Sunny Behal",10.1007/s00500-021-06608-1,https://doi.org/10.1007/s00500-021-06608-1,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",177,2022
"Deep Learning and Autonomous Vehicles: Strategic Themes, Applications, and Research Agenda Using SciMAT and Content-Centric Analysis, a Systematic Review","Fábio Eid Morooka, Adalberto Manoel Junior, T. F. Sigahi, Jefferson de Souza Pinto, I. Rampasso, R. Anholon",10.3390/make5030041,https://doi.org/10.3390/make5030041,Machine Learning and Knowledge Extraction,21,2023
Advances and Challenges in Semantic Communications: A Systematic Review,"Ping Zhang, Yiming Liu, Yile Song, Jiaxiang Zhang",10.1360/nso/20230029,https://doi.org/10.1360/nso/20230029,National Science Open,10,2023
Deep learning for the identification of autism traits in children through facial expressions: a systematic review,"Daniella Romani Palomino, Christian D. Ovalle, Heli Cordova-Berona",10.11591/ijece.v15i3.pp3279-3290,https://doi.org/10.11591/ijece.v15i3.pp3279-3290,International Journal of Electrical and Computer Engineering (IJECE),0,2025
"Short-Text Semantic Similarity (STSS): Techniques, Challenges and Future Perspectives","Zaira Hassan Amur, Yew Kwang Hooi, Hina Bhanbhro, K. Dahri, Gul Muhammad Soomro",10.3390/app13063911,https://doi.org/10.3390/app13063911,Applied Sciences,37,2023
Integration of Privacy Protection and Blockchain-Based Food Safety Traceability: Potential and Challenges,"Moyixi Lei, Longqin Xu, Tonglai Liu, Shuangyin Liu, Chuanheng Sun",10.3390/foods11152262,https://doi.org/10.3390/foods11152262,Foods,51,2022
"Large language models for automated Q&A involving legal documents: a survey on algorithms, frameworks and applications","Xiaoxian Yang, Zhifeng Wang, Qi Wang, Ke Wei, Kaiqi Zhang, Jiangang Shi",10.1108/ijwis-12-2023-0256,https://doi.org/10.1108/ijwis-12-2023-0256,International Journal of Web Information Systems,32,2024
"A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges","Andrew Brown, Muhammad Roman, Barry Devereux",10.48550/arXiv.2508.06401,https://doi.org/10.48550/arXiv.2508.06401,arXiv.org,1,2025
Systematic review of content analysis algorithms based on deep neural networks,"J. Rezaeenour, Mokhtar Ahmadi, Hamed Jelodar, Roshan Shahrooei",10.1007/s11042-022-14043-z,https://doi.org/10.1007/s11042-022-14043-z,Multimedia tools and applications,22,2022
A systematic review of deep learning-based object detection methods for crop grading,"Xiangjian Zhu, Ling Ren, Miao Yang, Yuquan Zhang, Conghua Zhang, Jianpu Cui, Junping Liu",10.1079/ab.2025.0060,https://doi.org/10.1079/ab.2025.0060,CABI Agriculture and Bioscience,0,2025
The role of digital social innovations to address SDGs: A systematic review,"Marcelo Dionisio, Sylvio Jorge de Souza Junior, F. Paula, P. Pellanda",10.1007/s10668-023-03038-x,https://doi.org/10.1007/s10668-023-03038-x,"Environment, Development and Sustainability",43,2023
Impact of Skin Lesion Descriptors and Deep Learning Architecture for the Effective Detection and Identification of Skin Diseases - A Systematic Review,"B. Kavitha, Dr. Kusuma Kumari",10.52783/jisem.v10i20s.3132,https://doi.org/10.52783/jisem.v10i20s.3132,Journal of Information Systems Engineering & Management,0,2025
A SYSTEMATIC REVIEW OF BIG DATA INTEGRATION CHALLENGES AND SOLUTIONS FOR HETEROGENEOUS DATA SOURCES,"Farhana Zaman Rozony, Mst Nahida Aktar Aktar, Md Ashrafuzzaman, A. Islam",10.69593/ajbais.v4i04.111,https://doi.org/10.69593/ajbais.v4i04.111,"ACADEMIC JOURNAL ON BUSINESS ADMINISTRATION, INNOVATION &amp; SUSTAINABILITY",21,2024
Recent text-based research and applications in railways: A critical review and future trends,"Kaitai Dong, Igor Romanov, Colin McLellan, A. Esen",10.1016/j.engappai.2022.105435,https://doi.org/10.1016/j.engappai.2022.105435,Engineering applications of artificial intelligence,22,2022
Lane Detection in Autonomous Vehicles: A Systematic Review,"N. J. Zakaria, M. I. Shapiai, R. A. Ghani, Mohd Najib Mohd Yassin, Mohd Zamri Ibrahim, N. Wahid",10.1109/ACCESS.2023.3234442,https://doi.org/10.1109/ACCESS.2023.3234442,IEEE Access,90,2023
A Systematic Review of Citation Recommendation Over the Past Two Decades,"Yicong Liang, Lap-Kei Lee",10.4018/ijswis.324071,https://doi.org/10.4018/ijswis.324071,International Journal on Semantic Web and Information Systems (IJSWIS),2,2023
"Generative AI-Empowered Vehicle-Grid Interaction Large Models: Classification, Research Review and Application Dilemmas",Jiayi Gao,10.54254/2755-2721/2025.gl28734,https://doi.org/10.54254/2755-2721/2025.gl28734,Applied and Computational Engineering,0,2025
Automatic Image Annotation Based on Deep Learning Models: A Systematic Review and Future Challenges,"M. M. Adnan, M. Rahim, A. Rehman, Zahid Mehmood, T. Saba, R. A. Naqvi",10.1109/ACCESS.2021.3068897,https://doi.org/10.1109/ACCESS.2021.3068897,IEEE Access,48,2021
Scalability and Efficiency of Deep Learning Models on High-Performance Computing Clusters: Bibliometric Analysis,"W. V. Gbedawo, A. Dzikunu, M. Nyamadi",10.26437/ajar.v10i2.807,https://doi.org/10.26437/ajar.v10i2.807,African Journal Of Applied Research,3,2024
The State of the Art in Methodologies of Course Recommender Systems - A Review of Recent Research,"D. Guruge, Rajan Kadel, S. J. Halder",10.3390/data6020018,https://doi.org/10.3390/data6020018,International Conference on Data Technologies and Applications,45,2021
"Systematic Review of Fake News, Propaganda, and Disinformation: Examining Authors, Content, and Social Impact Through Machine Learning","D. Plikynas, Ieva Rizgelienė, Gražina Korvel",10.1109/ACCESS.2025.3530688,https://doi.org/10.1109/ACCESS.2025.3530688,IEEE Access,4,2025
AI in Archival Science - A Systematic Review,"Gaurav Shinde, Tiana Kirstein, Souvick Ghosh, Patricia C. Franks",10.48550/arXiv.2410.09086,https://doi.org/10.48550/arXiv.2410.09086,arXiv.org,5,2024
State-of-the-art technologies in precision agriculture: a systematic review.,"Ishita Bhakta, S. Phadikar, K. Majumder",10.1002/jsfa.9693,https://doi.org/10.1002/jsfa.9693,The Journal of the Science of Food and Agriculture,157,2019
Automatic wildlife species identification on camera trap images using deep learning approaches: a systematic review,"Siyabonga Mamapule, B. M. Esiefarienrhe, I. Obagbuwa",10.11591/ijeecs.v40.i2.pp968-977,https://doi.org/10.11591/ijeecs.v40.i2.pp968-977,Indonesian Journal of Electrical Engineering and Computer Science,0,2025
A Review of Plant Phenotype Research Based on 3D Point Cloud Technology,"Yue Zuo, Bing Bai, Yu Wang, Xiuyuan Peng",10.1109/IMCEC59810.2024.10575517,https://doi.org/10.1109/IMCEC59810.2024.10575517,"IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference",0,2024
Peculiarities of organization of data storage based on intelligent search agent and evolutionary model selection the target information,Серия «Технические,-,-,arXiv.org,1,2021
Recommender systems in real estate: a systematic review,"C. Henriquez-Miranda, Jesús Ríos-Pérez, Germán Sanchez-Torres",10.11591/eei.v14i3.8884,https://doi.org/10.11591/eei.v14i3.8884,Bulletin of Electrical Engineering and Informatics,0,2025
Requirements traceability technologies and technology transfer decision support: A systematic review,"Bangchao Wang, Rong Peng, Yuanbang Li, Han Lai, Zhu Wang",10.1016/j.jss.2018.09.001,https://doi.org/10.1016/j.jss.2018.09.001,Journal of Systems and Software,36,2018
Artificial intelligence an enabler for sustainable engineering decision-making in uncertain environment: a review and future propositions,"V. Wankhede, R. Agrawal, Anil Kumar K, S. Luthra, D. Pamucar, Željko Stević",10.1108/jgoss-06-2022-0057,https://doi.org/10.1108/jgoss-06-2022-0057,Journal of Global Operations and Strategic Sourcing,7,2023
"Reviewing AI in architectural computational design: Applications, opportunities, and the AI-ACD workflow for improved design integration","Basma Nashaat, Mostafa M. Elzeni",10.1177/14780771251405443,https://doi.org/10.1177/14780771251405443,International Journal of Architectural Computing,0,2025
From Extraction to Reasoning: A Systematic Review of Algorithms in Multi-Document Summarization and QA,"Emmanuel Efosa-Zuwa, O. Oladipupo, Jelili O. Oyelade",10.19139/soic-2310-5070-2398,https://doi.org/10.19139/soic-2310-5070-2398,"Statistics, Optimization &amp; Information Computing",1,2025
Towards Explainable AI in Agentic Retrieval-Augmented Generation: A Systematic Review,"Afnan Habib, Osamah F. Abdulmahmod, Mukhlis Raza, Y. Gu, Murat Aydoğan, M. A. Al-antari",10.1109/IDAP68205.2025.11222281,https://doi.org/10.1109/IDAP68205.2025.11222281,2025 9th International Artificial Intelligence and Data Processing Symposium (IDAP),0,2025
Digital and intelligent standards for building and construction engineering: Current status and future,"林佳瑞, ，陈柯吟, ，潘鹏, Jiarui Lin, Chen Keyin, Pan Peng",-,-,-,1,-
"Semantic Communications for 6g Networks: Theory, Architectures, and Challenges",Jie Ji,10.54097/vwsfa141,https://doi.org/10.54097/vwsfa141,Academic Journal of Science and Technology,0,2025
A systematic review of long document summarization methods: Evaluation metrics and approaches,"Bady Gana, Héctor Allende-Cid, Stefan Rüping, Marcelo Becerra-Rozas, Juan Zamora",10.1016/j.neucom.2025.131287,https://doi.org/10.1016/j.neucom.2025.131287,Neurocomputing,0,2025
"Multimodal Emotion Recognition with Deep Learning: Advancements, challenges, and future directions","Geetha A.V., M. T., Priyanka D., Uma E.",10.1016/j.inffus.2023.102218,https://doi.org/10.1016/j.inffus.2023.102218,Information Fusion,41,2023
Deep learning – enabled visual computing in construction: application and digital technology integration,"P. Perera, Srinath Perera, Xiaohua Jin, Maria Rashidi, S. Nanayakkara, Gina Yazbek, Andrew Yazbek",10.3389/fbuil.2025.1655847,https://doi.org/10.3389/fbuil.2025.1655847,Frontiers in Built Environment,1,2025
Applications of deep learning in precision weed management: A review,"N. Rai, Yu Zhang, B. Ram, Leon Schumacher, Ravi K Yellavajjala, S. Bajwa, Xin Sun",10.1016/j.compag.2023.107698,https://doi.org/10.1016/j.compag.2023.107698,Computers and Electronics in Agriculture,157,2023
1. Digital technologies and business model innovation in incumbent firms: a systematic review,"Noemi Giampaoli, Matteo Renghini, Marco Cucculelli",-,-,-,0,-
Machine Learning Techniques and Privacy Concerns in Human-Computer Interactions: A Systematic Review,"Jun He, Tianyu Cao, Vincent G. Duffy",10.1007/978-3-031-48057-7_23,https://doi.org/10.1007/978-3-031-48057-7_23,Interacción,1,2023
"Artificial Intelligence in the Service of Knowledge through Automation, Archiving, and Discovery toward Human–Machine Synergy","Soumaya Iggout, Prof. Abdelhaï Sadiq",10.61856/g7743a62,https://doi.org/10.61856/g7743a62,Gateway Journal for Modern Studies and Research (GJMSR),0,2025
Deep learning in cultural imagery dissemination: a systematic scoping review of AI-driven visual transmission mechanisms,"Jinhua Yang, Ting Liu, Y. Luo, P. Pang",10.3389/fcomm.2025.1645168,https://doi.org/10.3389/fcomm.2025.1645168,Frontiers in Communication,0,2025
AI-Based Analysis for Industry 4.0 Maturity Models – A Systematic Review and Bibliometric Analysis,"Sadeem AlMarri, A. Bouras",10.46254/an12.20220417,https://doi.org/10.46254/an12.20220417,Proceedings of the International Conference on Industrial Engineering and Operations Management,0,2022
"Graph Foundation Models: Challenges, Methods, and Open Questions","Zehong Wang, Chuxu Zhang, Jundong Li, Nitesh V. Chawla, Yanfang Ye",10.1145/3711896.3736568,https://doi.org/10.1145/3711896.3736568,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,1,2025
Insight into Diverse Keyphrase Extraction Techniques from Text Documents,"Upasana Parida, M. Nayak, A. Nayak",10.1007/978-981-15-5971-6_44,https://doi.org/10.1007/978-981-15-5971-6_44,-,4,2020
Advances and hotspots analysis of value stream mapping using bibliometrics,"Chao Liu, Yang Zhang",10.1108/ijlss-12-2021-0219,https://doi.org/10.1108/ijlss-12-2021-0219,International Journal of Lean Six Sigma,9,2022
A Systematic Review of Automated Query Reformulations in Source Code Search,"M. M. Rahman, C. Roy",10.1145/3607179,https://doi.org/10.1145/3607179,ACM Transactions on Software Engineering and Methodology,8,2021
Literature omics: a new approach to systematic review about pose estimation,Mingtao Ma,10.1117/12.3034519,https://doi.org/10.1117/12.3034519,"Symposium on Advances in Electrical, Electronics and Computer Engineering",0,2024
"Agentic AI Frameworks: Architectures, Protocols, and Design Challenges","Hana Derouiche, Zaki Brahmi, Haithem Mazeni",10.48550/arXiv.2508.10146,https://doi.org/10.48550/arXiv.2508.10146,arXiv.org,4,2025
A Novel Integrated Framework Approach for TEBC Technologies in Distributed Manufacturing Systems: A Systematic Review and Opportunities,"V. Ramakurthi, V. Manupati, M. L. Varela, G. Putnik",10.1007/978-3-030-79165-0_10,https://doi.org/10.1007/978-3-030-79165-0_10,Lecture Notes in Mechanical Engineering,0,2021
Transforming Education with Deep Learning: A Systematic Review on Predicting Student Performance and Critical Challenges,"A. A., A. Noraziah, M. Rahmah, Mohammed Fakherldin, Ahmad Khawaji",10.54216/fpa.180207,https://doi.org/10.54216/fpa.180207,Fusion: Practice and Applications,0,2025
A Systematic Review on Context-Aware Recommender Systems using Deep Learning and Embeddings,"Igor André Pegoraro Santana, M. A. Domingues",-,-,arXiv.org,4,2020
An ecosystem approach to Web3.0: a systematic review and research agenda,"C. Guan, Ding Ding, Jiancang Guo, Yun Teng",10.1108/jebde-10-2022-0039,https://doi.org/10.1108/jebde-10-2022-0039,Journal of Electronic Business &amp; Digital Economics,12,2023
"Meta-Analysis and Review of Artificial Intelligence (AI) and Deep Learning Algorithms on Autonomous Vehicles (Avs) Via Vision-Based System: Current Trends, Issues, and Future Direction","F. Gonten, Professor Abdulsalam Ya'u Gital, Mr. Datti Useni, Mr. Larson Suwa, Mr. Mudimka Jahota Yerima",10.35940/ijaent.i0484.11121224,https://doi.org/10.35940/ijaent.i0484.11121224,International Journal of Advanced Engineering and Nano Technology,0,2024
Research on the impact of artificial intelligence on enterprise Decision support System (DSS) : based on bibliometrics,Yanru Wei,10.1145/3732801.3732818,https://doi.org/10.1145/3732801.3732818,Proceedings of the 2025 2nd International Conference on Informatics Education and Computer Technology Applications,0,2025
"Multimodal sentiment analysis: A systematic review of history, datasets, multimodal fusion methods, applications, challenges and future directions","Ankita Gandhi, K. Adhvaryu, Soujanya Poria, E. Cambria, A. Hussain",10.1016/j.inffus.2022.09.025,https://doi.org/10.1016/j.inffus.2022.09.025,Information Fusion,512,2022
The Current Development Status of Agricultural Machinery Chassis in Hilly and Mountainous Regions,"Renkai Ding, Xiangyuan Qi, Xuwen Chen, Yixin Mei, Anze Li",10.3390/app15137505,https://doi.org/10.3390/app15137505,Applied Sciences,4,2025
PRESENTATION OF THE RESEARCH METHODOLOGY OF KEY INNOVATIVE TECHNOLOGIES AND NEW FiNANCIAL PRACTICES,"Alina Havryk, Tetiana Nazarova",10.20998/2519-4461.2024.3.57,https://doi.org/10.20998/2519-4461.2024.3.57,"Bulletin of the National Technical University ""Kharkiv Polytechnic Institute"" (economic sciences)",0,2024
Exploring Agriculture 4.0: A Systematic Review of Digital Innovations in the Agricultural Sector,"Sarita Das, Aurodeep Kamal",10.9734/ajaees/2025/v43i72785,https://doi.org/10.9734/ajaees/2025/v43i72785,"Asian Journal of Agricultural Extension, Economics &amp; Sociology",1,2025
A Review of Deep Learning in Rotating Machinery Fault Diagnosis and Its Prospects for Port Applications,"Haifeng Wang, Hui Wang, Xianqiong Tang",10.3390/app152111303,https://doi.org/10.3390/app152111303,Applied Sciences,0,2025
When 5G Meets Deep Learning: A Systematic Review,"Guto Leoni Santos, P. Endo, D. Sadok, J. Kelner",10.20944/preprints202007.0693.v1,https://doi.org/10.20944/preprints202007.0693.v1,Algorithms,50,2020
Technology Assisted Review Systems: Current and Future Directions,G. Nunzio,-,-,ALTARS@ECIR,2,2024
Precast Assembled Road Paving Technology: Progress and Prospects,"Qiqi Tan, Hongzhou Zhu, Song Yang, Xiaosi Yang, L. Ou",10.3390/ma17102245,https://doi.org/10.3390/ma17102245,Materials,11,2024
Deep Learning Model-Based Architectures for Lung Tumor Mutation Profiling: A Systematic Review,"Samanta Ortuño-Miquel, Reyes Roca, Cristina Alenda, Francisco Aranda, N. Martínez-Banaclocha, Sandra Amador, David Gil",10.3390/cancers17223619,https://doi.org/10.3390/cancers17223619,Cancers,0,2025
"Semantic TRIZ feasibility in technology development, innovation, and production: A systematic review","Mostafa Ghane, M. Ang, Denis Cavallucci, R. A. Kadir, K. Ng, S. Sorooshian",10.1016/j.heliyon.2023.e23775,https://doi.org/10.1016/j.heliyon.2023.e23775,Heliyon,5,2023
Integration of Artificial Intelligence (AI) Into Academic Literature Reviews: An overview,"Edmond Osei Arhin, Festus Cobena Ainoo, Kwame Amponsah",10.53346/wjast.2025.7.1.0010,https://doi.org/10.53346/wjast.2025.7.1.0010,World Journal of Advanced Science and Technology,0,2025
SoK: AI-Powered Security Analysis of Smart Contract,"Shuo Yang, Jianyu Niu, Yinqian Zhang",10.1109/ICMC60390.2024.00017,https://doi.org/10.1109/ICMC60390.2024.00017,International Conference on Mathematics and Computing,0,2024
A semantic similarity analysis of Internet of Things,"C. K. Ng, Chun-Ho Wu, K. Yung, Andrew W. H. Ip, Tommy Cheung",10.1080/17517575.2018.1464666,https://doi.org/10.1080/17517575.2018.1464666,Enterprise Information Systems,69,2018
"A Systematic Review of Lean Construction, BIM and Emerging Technologies Integration: Identifying Key Tools","Omar Alnajjar, E. Atencio, J. Turmo",10.3390/buildings15162884,https://doi.org/10.3390/buildings15162884,Buildings,1,2025
AutoML: A Systematic Review on Automated Machine Learning with Neural Architecture Search,"Imrus Salehin, Md.Shamiul Islam, Pritom Saha, S. M. Noman, Azra Tuni, Md.Mehedi Hasan, M. Baten",10.1016/j.jiixd.2023.10.002,https://doi.org/10.1016/j.jiixd.2023.10.002,Journal of Information and Intelligence,122,2023
Digitalization and the Innovation of Artificial Intelligence: A Systematic Review,"Georgiana-Alina Crișan, A. Suciu, Adrian Domenteanu, M. Popescu",10.2478/picbe-2025-0211,https://doi.org/10.2478/picbe-2025-0211,Proceedings of the International Conference on Business Excellence,0,2025
Unraveling the landscape of large language models: a systematic review and future perspectives,"Qinxu Ding, Ding Ding, Yue Wang, Chong Guan, Bosheng Ding",10.1108/jebde-08-2023-0015,https://doi.org/10.1108/jebde-08-2023-0015,Journal of Electronic Business &amp; Digital Economics,20,2023
"Research Evolution, Current Status, Trends, and Sustainable Development of Smart Product-Service Systems","Hui Zeng, Ting Qiu, Jinwei Zhu, Shuo Xu",10.1109/ACCESS.2025.3526731,https://doi.org/10.1109/ACCESS.2025.3526731,IEEE Access,2,2025
Deep learning in urban green space extraction in remote sensing: a comprehensive systematic review,"Yuhong Huang, Lihui Wang, Pengcheng Zhao, Yifan Zhao, Qichi Yang, Yun Du, Feng Ling",10.1080/01431161.2024.2424511,https://doi.org/10.1080/01431161.2024.2424511,International Journal of Remote Sensing,3,2024
ChatGPT-Like Large-Scale Foundation Models for Prognostics and Health Management: A Survey and Roadmaps,"Yanfang Li, Huan Wang, Muxia Sun",10.48550/arXiv.2305.06472,https://doi.org/10.48550/arXiv.2305.06472,Reliability Engineering & System Safety,83,2023
Personality and safety behavior: An analysis of worldwide research on road and traffic safety leading to organizational and policy implications,"V. Pereira, U. Bamel, Happy Paul, A. Varma",10.1016/j.jbusres.2022.06.057,https://doi.org/10.1016/j.jbusres.2022.06.057,Journal of business research,9,2022
Embodied intelligence for robot manipulation: development and challenges,"Honghao Song, Liang Wang, Xiaozhen Qiao, Yifan Chen, Da Sun, Zhe Sun",10.1007/s44336-025-00020-1,https://doi.org/10.1007/s44336-025-00020-1,Vicinagearth,0,2025
A Systematic Review of Learning-Based Software Defect Prediction,"Changjian Li, Dongcheng Li, Hui Li, W. E. Wong, Man Zhao",10.70003/160792642025072604009,https://doi.org/10.70003/160792642025072604009,Journal of Internet Technology,1,2025
A systematic review of Hate Speech automatic detection using Natural Language Processing,"Md Saroar Jahan, M. Oussalah",-,-,arXiv.org,83,2021
Multi-source Multimodal Data and Deep Learning for Disaster Response: A Systematic Review,"N. Algiriyage, R. Prasanna, Kristin Stock, Emma E. H. Doyle, D. Johnston",10.1007/s42979-021-00971-4,https://doi.org/10.1007/s42979-021-00971-4,SN Computer Science,44,2021
"Abstractive Text Summarization: A Systematic Review of Techniques, Evaluation, and Future Directions","Anu Saini, Jyoti Vashishtha, Sunita Beniwal",10.36948/ijfmr.2025.v07i05.54789,https://doi.org/10.36948/ijfmr.2025.v07i05.54789,International Journal For Multidisciplinary Research,0,2025
Shaping Architecture with Generative Artificial Intelligence: Deep Learning Models in Architectural Design Workflow,S. Yiannoudes,10.3390/architecture5040094,https://doi.org/10.3390/architecture5040094,Architecture,1,2025
